Name,Year,Rated,Runtime,Action,Adventure,Crime,Drama,Thriller,Fantasy,Horror,Sci.Fi,Comedy,Family,Mystery,Romance,Animation,Music,History,Documentary,Wins,Nominations,Production.Budget,Worldwide
The Grudge,2004,PG-13,92,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,8,16.40818999,19.33821568
The Grudge 2,2006,PG-13,102,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,17.04803296,18.31090431
The Hangover,2009,R,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,20,17.47732448,20.06934136
The Hangover Part II,2011,R,102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,14,18.22739037,20.21998695
The Hangover Part III,2013,R,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,18.4406467,19.69756212
The Transporter,2002,PG-13,92,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.21665588,17.95470658
Transporter 2,2005,PG-13,87,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.53964187,18.51852751
Harold & Kumar Go to White Castle,2004,R,88,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,16.30282793,17.28102488
Harold & Kumar Escape from Guantanamo Bay,2008,R,104,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,16.44537413,17.73307032
A Very Harold & Kumar 3D Christmas,2011,R,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16.81815675,17.44006828
Hostel,2005,R,94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,11,15.62091777,18.4415391
Hostel: Part II,2007,R,94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,16.32553698,17.57604309
I Still Know What You Did Last Summer,1998,R,100,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,7,18.55369043,18.06823541
Iron Man,2008,PG-13,126,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,52,18.90207912,20.33234631
Iron Man 2,2010,PG-13,124,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,38,19.15691164,20.2946378
Iron Man 3,2013,PG-13,130,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,41,19.10423546,20.90877952
Jackass: The Movie,2002,R,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,15.78144906,18.54769057
Jackass Number Two,2006,R,92,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16.49464799,18.49045425
Jackass 3D,2010,R,94,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,16.84680789,18.99674163
Jurassic Park,1993,PG-13,127,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,27,16,18.65371267,21.44707022
The Lost World: Jurassic Park,1997,PG-13,129,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,20,18.69834549,20.83540795
Jurassic Park III,2001,PG-13,92,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,9,18.73094178,20.10854474
Scooby-Doo,2002,PG,86,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,8,18.60300247,19.79132017
Scream,1996,R,111,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,6,17.05147805,19.56598201
Scream 2,1997,R,120,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,11,17.57762845,19.54917908
Scream 3,2000,R,116,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,17.93610039,19.33379376
Scream 4,2011,R,111,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5,17.53373123,18.42099149
Alien,1979,R,117,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15,18,17.40937849,19.66479384
Alien_,1992,R,114,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,19,18.42068083,19.58267158
Alien: Resurrection,1997,R,109,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,15,18.72537441,19.49162377
Alvin and the Chipmunks,2007,PG,92,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,18.07710787,19.87257333
Alvin and the Chipmunks: The Squeakquel,2009,PG,88,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,18.2003801,19.97677774
Alvin and the Chipmunks: Chipwrecked,2011,G,87,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,18.18625718,19.70561117
Anacondas: The Hunt for the Blood Orchid,2004,PG-13,97,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,17.10133839,18.36818596
Paranormal Activity,2007,R,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,9,9.702548317,19.16678541
Paranormal Activity 2,2010,R,91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,14.94968801,19.03011411
Paranormal Activity 3,2011,R,83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,15.48323157,19.20670491
Paranormal Activity 4,2012,R,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,15.45554164,18.80767476
Shrek,2001,PG,90,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,34,48,18.29268675,20.38127223
Shrek 2,2004,PG,93,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,42,19.1162405,20.9298036
Shrek the Third,2007,PG,93,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,14,19.07832113,20.6864559
Shrek Forever After,2010,PG,93,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,12,18.96453957,20.48212913
Exorcist: The Beginning,2004,R,114,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,18.48763109,18.46232079
Spy Kids,2001,PG,88,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10,17.75368995,19.19510933
Spy Kids 2: Island of Lost Dreams,2002,PG,100,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,17.80970842,18.95730599
Spy Kids 3-D: Game Over,2003,PG,84,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,17.77255776,19.41823615
Spy Kids: All the Time in the World in 4D,2011,PG,89,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,17.15568938,18.30912077
Step Up,2006,PG-13,104,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,16.53720768,18.79020721
Step Up 3D,2010,PG-13,107,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,17.25979154,18.92933195
Step Up Revolution,2012,PG-13,99,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17.3766398,18.82513149
The Silence of the Lambs,1991,R,118,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,56,30,17.43874239,20.10283308
Hannibal,2001,R,131,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,14,18.66425015,20.06109859
Red Dragon,2002,R,124,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,8,18.52889446,19.51545867
Superman,1978,PG,143,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,13,19,19.08894842,20.78612417
Superman II,1980,PG,127,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,18.89829923,19.59316443
Superman IV: The Quest for Peace,1987,PG,93,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,17.40144277,17.32068049
Superman Returns,2006,PG-13,154,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,27,19.65072299,20.02121622
Man of Steel,2013,PG-13,143,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,34,19.22201842,20.31027433
Ice Age,2002,PG,81,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,26,18.24972292,20.12089161
Ice Age: The Meltdown,2006,PG,91,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,14,18.43432769,20.5459653
Ice Age: Dawn of the Dinosaurs,2009,PG,94,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,18.42187305,20.70955521
Ice Age: Continental Drift,2012,PG,88,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,10,18.43354041,20.65644959
The Hunger Games,2012,PG-13,142,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,41,18.20583155,20.38762105
The Hunger Games: Catching Fire,2013,PG-13,146,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,53,18.68206389,20.57715832
The Hunger Games: Mockingjay - Part 1,2014,PG-13,123,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,18.64382434,20.4383802
Raiders of the Lost Ark,1981,PG,115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,22,17.81141089,20.88699603
Indiana Jones and the Temple of Doom,1984,PG,118,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,18.05202962,20.52828968
Indiana Jones and the Last Crusade,1989,PG-13,127,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,18.41917588,20.70954458
Indiana Jones and the Kingdom of the Crystal Skull,2008,PG-13,122,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,19.18082262,20.62823247
Toy Story 2,1999,G,92,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,21,24,18.79463461,20.47900513
Toy Story 3,2010,G,103,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,59,73,19.15691143,20.82760615
Transformers,2007,PG-13,144,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,38,19.01378266,20.56800349
Transformers: Revenge of the Fallen,2009,N/A,150,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,22,19.2205008,20.65117524
Transformers: Dark of the Moon,2011,PG-13,154,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,39,19.13012705,20.8815933
Transformers: Age of Extinction,2014,PG-13,165,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,20,19.18948164,20.83759533
Underworld,2003,R,121,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,8,17.22583765,18.69610186
Underworld: Rise of the Lycans,2009,R,92,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.5158154,18.47520394
Underworld: Awakening,2012,R,88,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,18.12229891,18.94968143
The Karate Kid,2010,PG,140,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,13,17.54747364,19.74226755
Mission: Impossible,1996,PG-13,110,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,10,18.82765299,20.57183235
Mission: Impossible II,2000,PG-13,123,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,18,19.07553458,20.55055038
Mission: Impossible III,2006,PG-13,126,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,12,19.06293638,20.03837616
Mission: Impossible - Ghost Protocol,2011,PG-13,133,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,26,18.84471445,20.41148007
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,81,19.07665788,20.61852642
Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,151,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,42,19.46840151,21.02413829
Pirates of the Caribbean: At World's End,2007,PG-13,169,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,38,19.70693,20.87363742
Pirates of the Caribbean: On Stranger Tides,2011,PG-13,136,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,29,19.36691016,20.79790424
Die Hard,1988,R,131,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,17.85054727,19.46545559
Die Hard 2,1990,R,124,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,18.73805932,19.97033255
Die Hard: With a Vengeance,1995,R,131,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,18.96139965,20.36450106
Live Free or Die Hard,2007,PG-13,128,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,14,18.70362812,19.95256941
A Good Day to Die Hard,2013,R,98,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,18.38164118,19.5790299
Dr. Dolittle 2,2001,PG,87,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,6,18.44683716,19.3694186
Resident Evil,2002,R,100,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,17.66869359,18.80147381
Resident Evil: Apocalypse,2004,R,94,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,17.91226761,18.96847358
Resident Evil: Afterlife,2010,R,97,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,17.95293814,19.54970161
Resident Evil: Retribution,2012,R,96,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,4,18.05459648,19.36151148
Final Destination,2000,R,98,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,3,17.38271454,18.97354824
Final Destination 3,2006,R,93,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,17.27117643,18.82060237
The Final Destination,2009,R,82,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,17.61012532,19.14789073
Final Destination 5,2011,R,92,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,4,17.54878012,18.92178433
Scary Movie,2000,R,88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,5,17.1916598,19.87491305
Scary Movie 2,2001,R,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,18.00500438,19.14866565
Scary Movie 3,2003,PG-13,84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,18.00598396,19.5314659
Scary Movie 4,2006,PG-13,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,17.85896367,19.23555904
Scary Movie 5,2013,PG-13,86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,16.80164895,18.16746944
Home Alone,1990,PG,103,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,6,17.3825723,20.65905575
Home Alone 3,1997,PG,102,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,17.86058344,18.76533933
The Terminator,1984,R,107,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,6,16.5700139,19.07517243
Terminator 2: Judgment Day,1991,R,137,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,21,19.11927618,20.74783087
Terminator 3: Rise of the Machines,2003,R,109,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,17,19.43333653,20.2066136
Terminator Salvation,2009,PG-13,115,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,19.22052841,19.83936414
Twilight,2008,PG-13,122,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,25,10,17.57138459,19.9333003
The Twilight Saga: New Moon,2009,PG-13,130,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17,21,17.81257811,20.46557704
The Twilight Saga: Eclipse,2010,PG-13,124,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22,33,18.07810182,20.40751691
The Twilight Saga: Breaking Dawn - Part 1,2011,PG-13,117,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,21,18.57396813,20.44180702
The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,115,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,11,18.63358557,20.5671404
The Fast and the Furious,2001,PG-13,106,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,12,17.83592814,19.53243145
2 Fast 2 Furious,2003,PG-13,107,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,18.4657524,19.60033561
Fast & Furious,2009,PG-13,107,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,18.40311815,19.85532215
Fast Five,2011,PG-13,130,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,18,18.67330071,20.28455725
Fast & Furious 6,2013,PG-13,130,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,18,18.88109204,20.4762787
Star Trek: The Motion Picture,1979,PG,132,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,18,18.56683126,19.42134939
Star Trek II: The Wrath of Khan,1982,PG,113,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,17.2692703,19.22170203
Star Trek: Generations,1994,PG,118,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,18.05360549,19.26954462
Star Trek: Insurrection,1998,PG,103,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,8,18.42879557,19.09208466
Star Trek: Nemesis,2002,PG-13,116,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,18.25511068,18.37011692
Star Trek,2009,PG-13,127,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,64,18.93283878,19.87721265
Star Trek Into Darkness,2013,PG-13,132,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,39,19.05294216,19.95306411
Saw,2004,R,103,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,8,14.28792687,18.74914652
Saw II,2005,R,93,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,7,15.46018382,19.06940099
Saw III,2006,R,108,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,16.3548866,19.15748472
Saw V,2008,R,92,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,16.34001233,18.69547146
Saw VI,2009,R,90,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,16.3001966,18.12523886
Saw 3D: The Final Chapter,2010,R,90,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,16.85432693,18.77235506
X-Men,2000,PG-13,104,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,25,18.56470899,19.93872673
X-Men 2,2003,PG-13,134,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,35,18.8354993,20.14557887
X-Men: The Last Stand,2006,PG-13,104,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,30,19.3994086,20.18213431
X-Men Origins: Wolverine,2009,PG-13,107,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,12,18.93284547,19.84395712
X-Men: First Class,2011,PG-13,132,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,31,18.92112969,19.71419043
The Wolverine,2013,PG-13,126,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,18.65931739,19.89969022
X-Men: Days of Future Past,2014,PG-13,131,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,22,19.11022007,20.42946815
American Pie,1999,R,95,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,14,16.70434982,19.76809329
American Pie 2,2001,R,108,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,3,17.59953945,19.85975133
American Wedding,2003,R,96,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,18.1423525,19.57937974
American Reunion,2012,R,113,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,17.74945853,19.29697671
The Muppet Christmas Carol,1992,G,85,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,16.99406618,17.8153686
Muppets from Space,1999,N/A,87,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,17.48450819,17.41209931
The Muppets,2011,PG,103,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17,38,17.6793385,18.97973745
Muppets Most Wanted,2014,PG,107,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,17.74356376,18.21834487
Harry Potter and the Sorcerer's Stone,2001,N/A,152,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14,61,19.02316055,21.07703335
Harry Potter and the Chamber of Secrets,2002,PG,161,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10,35,18.77342711,20.94701866
Harry Potter and the Prisoner of Azkaban,2004,PG,142,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,41,18.97313963,20.786069
Harry Potter and the Goblet of Fire,2005,PG-13,157,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11,39,19.0830252,20.87134663
Harry Potter and the Order of the Phoenix,2007,PG-13,138,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15,36,19.01378255,20.84890577
Harry Potter and the Half-Blood Prince,2009,PG,153,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,28,19.44352374,20.76198508
The Mummy,1999,PG-13,125,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,20,18.68848159,20.33698012
The Mummy Returns,2001,PG-13,130,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,13,18.78330968,20.26911058
The Mummy: Tomb of the Dragon Emperor,2008,PG-13,112,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,18.93720084,19.95474927
The World Is Not Enough,1999,PG-13,128,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,19.20630825,20.19221459
Die Another Day,2002,PG-13,133,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,19.12378542,20.23631709
Casino Royale,2006,PG-13,144,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,32,19.05761863,20.44232166
Quantum of Solace,2008,PG-13,106,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,29,19.25878392,20.33394116
Skyfall,2012,PG-13,143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,93,19.14441148,20.85691218
Rise of the Planet of the Apes,2011,PG-13,105,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,18,32,18.39267632,20.03760809
Dawn of the Planet of the Apes,2014,PG-13,130,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,27,18.97817259,20.40599776
The Godfather,1972,R,175,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33,19,17.19289726,20.90266703
The Godfather: Part II,1974,R,200,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,16,17.87077687,19.16745873
The Godfather: Part III,1990,R,162,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,19,18.48229252,19.41158036