"Date","Chairman","PreviousRate","Streak","GDP","Unemployment","CPI","HomeownershipRate","DebtAsPctGDP","DemocraticPres","MonthsUntilElection","RaisedFedFunds"
1966-02-01,"Martin, William M.",4.42,4,4201.891,4,31.88,63.5,40.26076,1,33,1
1966-03-01,"Martin, William M.",4.6,5,4201.891,3.8,32.08,63.5,4201.891,1,32,1
1966-04-01,"Martin, William M.",4.65,6,4201.891,3.8,32.18,63.5,4201.891,1,31,1
1966-05-01,"Martin, William M.",4.67,7,4219.097,3.8,32.28,63.2,39.15969,1,30,1
1966-06-01,"Martin, William M.",4.9,8,4219.097,3.9,32.35,63.2,4219.097,1,29,1
1966-07-01,"Martin, William M.",5.17,9,4219.097,3.8,32.38,63.2,4219.097,1,28,1
1966-08-01,"Martin, William M.",5.3,10,4249.152,3.8,32.45,63.3,39.56481,1,27,1
1966-09-01,"Martin, William M.",5.53,11,4249.152,3.8,32.65,63.3,4249.152,1,26,0
1966-10-01,"Martin, William M.",5.4,-1,4249.152,3.7,32.75,63.3,4249.152,1,25,1
1966-11-01,"Martin, William M.",5.53,1,4285.582,3.7,32.85,63.8,39.44413,1,24,1
1966-12-01,"Martin, William M.",5.76,2,4285.582,3.6,32.88,63.8,4285.582,1,23,0
1967-01-01,"Martin, William M.",5.4,-1,4285.582,3.8,32.92,63.8,4285.582,1,22,0
1967-02-01,"Martin, William M.",4.94,-2,4324.926,3.9,32.9,63.3,39.11903,1,21,1
1967-03-01,"Martin, William M.",5,1,4324.926,3.8,33,63.3,4324.926,1,20,0
1967-04-01,"Martin, William M.",4.53,-1,4324.926,3.8,33,63.3,4324.926,1,19,0
1967-05-01,"Martin, William M.",4.05,-2,4328.72,3.8,33.1,63.9,37.93832,1,18,0
1967-06-01,"Martin, William M.",3.94,-3,4328.72,3.8,33.1,63.9,4328.72,1,17,1
1967-07-01,"Martin, William M.",3.98,1,4328.72,3.9,33.3,63.9,4328.72,1,16,0
1967-08-01,"Martin, William M.",3.79,-1,4366.088,3.8,33.4,63.8,38.76021,1,15,1
1967-09-01,"Martin, William M.",3.9,1,4366.088,3.8,33.5,63.8,4366.088,1,14,1
1967-10-01,"Martin, William M.",3.99,2,4366.088,3.8,33.6,63.8,4366.088,1,13,0
1967-11-01,"Martin, William M.",3.88,-1,4401.233,4,33.7,63.5,39.02434,1,12,1
1967-12-01,"Martin, William M.",4.13,1,4401.233,3.9,33.9,63.5,4401.233,1,11,1
1968-01-01,"Martin, William M.",4.51,2,4401.233,3.8,34,63.5,4401.233,1,10,1
1968-02-01,"Martin, William M.",4.6,3,4490.609,3.7,34.1,63.6,38.35726,1,9,1
1968-03-01,"Martin, William M.",4.71,4,4490.609,3.8,34.2,63.6,4490.609,1,8,1
1968-04-01,"Martin, William M.",5.05,5,4490.609,3.7,34.3,63.6,4490.609,1,7,1
1968-05-01,"Martin, William M.",5.76,6,4566.442,3.5,34.4,64.1,36.88657,1,6,1
1968-06-01,"Martin, William M.",6.11,7,4566.442,3.5,34.5,64.1,4566.442,1,5,0
1968-07-01,"Martin, William M.",6.07,-1,4566.442,3.7,34.7,64.1,4566.442,1,4,0
1968-08-01,"Martin, William M.",6.02,-2,4599.332,3.7,34.9,64.1,37.25118,1,3,1
1968-09-01,"Martin, William M.",6.03,1,4599.332,3.5,35,64.1,4599.332,1,2,0
1968-10-01,"Martin, William M.",5.78,-1,4599.332,3.4,35.1,64.1,4599.332,1,1,1
1968-11-01,"Martin, William M.",5.91,1,4619.803,3.4,35.3,63.6,36.9064,1,0,0
1968-12-01,"Martin, William M.",5.82,-1,4619.803,3.4,35.4,63.6,4619.803,1,47,1
1969-01-01,"Martin, William M.",6.02,1,4619.803,3.4,35.6,63.6,4619.803,0,46,1
1969-02-01,"Martin, William M.",6.3,2,4691.637,3.4,35.7,64.1,36.12076,0,45,1
1969-03-01,"Martin, William M.",6.61,3,4691.637,3.4,35.8,64.1,4691.637,0,44,1
1969-04-01,"Martin, William M.",6.79,4,4691.637,3.4,36.1,64.1,4691.637,0,43,1
1969-05-01,"Martin, William M.",7.41,5,4706.684,3.4,36.3,64.4,34.89173,0,42,1
1969-06-01,"Martin, William M.",8.67,6,4706.684,3.4,36.4,64.4,4706.684,0,41,1
1969-07-01,"Martin, William M.",8.9,7,4706.684,3.5,36.6,64.4,4706.684,0,40,0
1969-08-01,"Martin, William M.",8.61,-1,4736.143,3.5,36.8,64.4,34.9501,0,39,1
1969-09-01,"Martin, William M.",9.19,1,4736.143,3.5,36.9,64.4,4736.143,0,38,0
1969-10-01,"Martin, William M.",9.15,-1,4736.143,3.7,37.1,64.4,4736.143,0,37,0
1969-11-01,"Martin, William M.",9,-2,4715.469,3.7,37.3,64.4,35.38253,0,36,0
1969-12-01,"Martin, William M.",8.85,-3,4715.469,3.5,37.5,64.4,4715.469,0,35,1
1970-01-01,"Martin, William M.",8.97,1,4715.469,3.5,37.7,64.4,4715.469,0,34,1
1970-02-01,"Burns, Arthur",8.98,2,4707.112,3.9,37.9,64.3,35.31153,0,33,0
1970-03-01,"Burns, Arthur",8.98,-1,4707.112,4.2,38.1,64.3,4707.112,0,32,0
1970-04-01,"Burns, Arthur",7.76,-2,4707.112,4.4,38.3,64.3,4707.112,0,31,1
1970-05-01,"Burns, Arthur",8.1,1,4715.441,4.6,38.5,64,34.58499,0,30,0
1970-06-01,"Burns, Arthur",7.94,-1,4715.441,4.8,38.6,64,4715.441,0,29,0
1970-07-01,"Burns, Arthur",7.6,-2,4715.441,4.9,38.8,64,4715.441,0,28,0
1970-08-01,"Burns, Arthur",7.21,-3,4757.213,5,38.9,64.4,34.78898,0,27,0
1970-09-01,"Burns, Arthur",6.61,-4,4757.213,5.1,39,64.4,4757.213,0,26,0
1970-10-01,"Burns, Arthur",6.29,-5,4757.213,5.4,39.2,64.4,4757.213,0,25,0
1970-11-01,"Burns, Arthur",6.2,-6,4708.281,5.5,39.4,64,35.6535,0,24,0
1970-12-01,"Burns, Arthur",5.6,-7,4708.281,5.9,39.6,64,4708.281,0,23,0
1971-01-01,"Burns, Arthur",4.9,-8,4708.281,6.1,39.8,64,4708.281,0,22,0
1971-02-01,"Burns, Arthur",4.14,-9,4834.349,5.9,39.9,64,34.42327,0,21,0
1971-03-01,"Burns, Arthur",3.72,-10,4834.349,5.9,39.9,64,4834.349,0,20,0
1971-04-01,"Burns, Arthur",3.71,-11,4834.349,6,40,64,4834.349,0,19,1
1971-05-01,"Burns, Arthur",4.15,1,4861.938,5.9,40.1,64.1,34.26816,0,18,1
1971-06-01,"Burns, Arthur",4.63,2,4861.938,5.9,40.3,64.1,4861.938,0,17,1
1971-07-01,"Burns, Arthur",4.91,3,4861.938,5.9,40.5,64.1,4861.938,0,16,1
1971-08-01,"Burns, Arthur",5.31,4,4899.95,6,40.6,64.4,34.92909,0,15,1
1971-09-01,"Burns, Arthur",5.56,5,4899.95,6.1,40.7,64.4,4899.95,0,14,0
1971-10-01,"Burns, Arthur",5.55,-1,4899.95,6,40.8,64.4,4899.95,0,13,0
1971-11-01,"Burns, Arthur",5.2,-2,4914.261,5.8,40.9,64.5,35.53376,0,12,0
1971-12-01,"Burns, Arthur",4.91,-3,4914.261,6,41,64.5,4914.261,0,11,0
1972-01-01,"Burns, Arthur",4.14,-4,4914.261,6,41.1,64.5,4914.261,0,10,0
1972-02-01,"Burns, Arthur",3.5,-5,5002.436,5.8,41.2,64.3,34.63641,0,9,0
1972-03-01,"Burns, Arthur",3.29,-6,5002.436,5.7,41.4,64.3,5002.436,0,8,1
1972-04-01,"Burns, Arthur",3.83,1,5002.436,5.8,41.4,64.3,5002.436,0,7,1
1972-05-01,"Burns, Arthur",4.17,2,5118.278,5.7,41.5,64.5,33.57492,0,6,1
1972-06-01,"Burns, Arthur",4.27,3,5118.278,5.7,41.6,64.5,5118.278,0,5,1
1972-07-01,"Burns, Arthur",4.46,4,5118.278,5.7,41.7,64.5,5118.278,0,4,1
1972-08-01,"Burns, Arthur",4.55,5,5165.448,5.6,41.8,64.3,33.54042,0,3,1
1972-09-01,"Burns, Arthur",4.8,6,5165.448,5.6,41.9,64.3,5165.448,0,2,1
1972-10-01,"Burns, Arthur",4.87,7,5165.448,5.5,42.1,64.3,5165.448,0,1,1
1972-11-01,"Burns, Arthur",5.04,8,5251.226,5.6,42.2,64.4,33.66914,0,0,1
1972-12-01,"Burns, Arthur",5.06,9,5251.226,5.3,42.4,64.4,5251.226,0,47,1
1973-01-01,"Burns, Arthur",5.33,10,5251.226,5.2,42.5,64.4,5251.226,0,46,1
1973-02-01,"Burns, Arthur",5.94,11,5380.502,4.9,42.7,64.9,33.21547,0,45,1
1973-03-01,"Burns, Arthur",6.58,12,5380.502,5,43,64.9,5380.502,0,44,1
1973-04-01,"Burns, Arthur",7.09,13,5380.502,4.9,43.4,64.9,5380.502,0,43,1
1973-05-01,"Burns, Arthur",7.12,14,5441.504,5,43.7,64.4,32.25995,0,42,1
1973-06-01,"Burns, Arthur",7.84,15,5441.504,4.9,43.9,64.4,5441.504,0,41,1
1973-07-01,"Burns, Arthur",8.49,16,5441.504,4.9,44.2,64.4,5441.504,0,40,1
1973-08-01,"Burns, Arthur",10.4,17,5411.935,4.8,44.2,64.4,32.05832,0,39,1
1973-09-01,"Burns, Arthur",10.5,18,5411.935,4.8,45,64.4,5411.935,0,38,1
1973-10-01,"Burns, Arthur",10.78,19,5411.935,4.8,45.2,64.4,5411.935,0,37,0
1973-11-01,"Burns, Arthur",10.01,-1,5462.397,4.6,45.6,64.4,31.71341,0,36,1
1973-12-01,"Burns, Arthur",10.03,1,5462.397,4.8,45.9,64.4,5462.397,0,35,0
1974-01-01,"Burns, Arthur",9.95,-1,5462.397,4.9,46.3,64.4,5462.397,0,34,0
1974-02-01,"Burns, Arthur",9.65,-2,5417.024,5.1,46.8,64.8,31.69031,0,33,0
1974-03-01,"Burns, Arthur",8.97,-3,5417.024,5.2,47.3,64.8,5417.024,0,32,1
1974-04-01,"Burns, Arthur",9.35,1,5417.024,5.1,47.8,64.8,5417.024,0,31,1
1974-05-01,"Burns, Arthur",10.51,2,5431.265,5.1,48.1,64.8,30.9109,0,30,1
1974-06-01,"Burns, Arthur",11.31,3,5431.265,5.1,48.6,64.8,5431.265,0,29,1
1974-07-01,"Burns, Arthur",11.93,4,5431.265,5.4,49,64.8,5431.265,0,28,1
1974-08-01,"Burns, Arthur",12.92,5,5378.679,5.5,49.3,64.6,30.79609,0,27,0
1974-09-01,"Burns, Arthur",12.01,-1,5378.679,5.5,49.9,64.6,5378.679,0,26,0
1974-10-01,"Burns, Arthur",11.34,-2,5378.679,5.9,50.6,64.6,5378.679,0,25,0
1974-11-01,"Burns, Arthur",10.06,-3,5357.166,6,51,64.4,30.73387,0,24,0
1974-12-01,"Burns, Arthur",9.45,-4,5357.166,6.6,51.5,64.4,5357.166,0,23,0
1975-01-01,"Burns, Arthur",8.53,-5,5357.166,7.2,51.9,64.4,5357.166,0,22,0
1975-02-01,"Burns, Arthur",7.13,-6,5292.444,8.1,52.3,64.4,31.4682,0,21,0
1975-03-01,"Burns, Arthur",6.24,-7,5292.444,8.1,52.6,64.4,5292.444,0,20,0
1975-04-01,"Burns, Arthur",5.54,-8,5292.444,8.6,52.8,64.4,5292.444,0,19,0
1975-05-01,"Burns, Arthur",5.49,-9,5333.22,8.8,53,64.9,32.18957,0,18,0
1975-06-01,"Burns, Arthur",5.22,-10,5333.22,9,53.1,64.9,5333.22,0,17,1
1975-07-01,"Burns, Arthur",5.55,1,5333.22,8.8,53.5,64.9,5333.22,0,16,1
1975-08-01,"Burns, Arthur",6.1,2,5421.357,8.6,54,64.6,32.30523,0,15,1
1975-09-01,"Burns, Arthur",6.14,3,5421.357,8.4,54.2,64.6,5421.357,0,14,1
1975-10-01,"Burns, Arthur",6.24,4,5421.357,8.4,54.6,64.6,5421.357,0,13,0
1975-11-01,"Burns, Arthur",5.82,-1,5494.446,8.4,54.9,64.5,32.65468,0,12,0
1975-12-01,"Burns, Arthur",5.22,-2,5494.446,8.3,55.3,64.5,5494.446,0,11,0
1976-01-01,"Burns, Arthur",5.2,-3,5494.446,8.2,55.6,64.5,5494.446,0,10,0
1976-02-01,"Burns, Arthur",4.87,-4,5618.52,7.9,55.8,64.6,32.91258,0,9,0
1976-03-01,"Burns, Arthur",4.77,-5,5618.52,7.7,55.9,64.6,5618.52,0,8,1
1976-04-01,"Burns, Arthur",4.84,1,5618.52,7.6,56,64.6,5618.52,0,7,0
1976-05-01,"Burns, Arthur",4.82,-1,5660.972,7.7,56.1,64.6,33.41225,0,6,1
1976-06-01,"Burns, Arthur",5.29,1,5660.972,7.4,56.4,64.6,5660.972,0,5,1
1976-07-01,"Burns, Arthur",5.48,2,5660.972,7.6,56.7,64.6,5660.972,0,4,0
1976-08-01,"Burns, Arthur",5.31,-1,5689.756,7.8,57,64.9,33.57318,0,3,0
1976-09-01,"Burns, Arthur",5.29,-2,5689.756,7.8,57.3,64.9,5689.756,0,2,0
1976-10-01,"Burns, Arthur",5.25,-3,5689.756,7.6,57.6,64.9,5689.756,0,1,0
1976-11-01,"Burns, Arthur",5.02,-4,5732.462,7.7,57.9,64.8,33.71559,0,0,0
1976-12-01,"Burns, Arthur",4.95,-5,5732.462,7.8,58.1,64.8,5732.462,0,47,0
1977-01-01,"Burns, Arthur",4.65,-6,5732.462,7.8,58.4,64.8,5732.462,1,46,0
1977-02-01,"Burns, Arthur",4.61,-7,5799.16,7.5,58.7,64.8,33.5863,1,45,1
1977-03-01,"Burns, Arthur",4.68,1,5799.16,7.6,59.3,64.8,5799.16,1,44,1
1977-04-01,"Burns, Arthur",4.69,2,5799.16,7.4,59.6,64.8,5799.16,1,43,1
1977-05-01,"Burns, Arthur",4.73,3,5912.977,7.2,60,64.5,32.7359,1,42,1
1977-06-01,"Burns, Arthur",5.35,4,5912.977,7,60.2,64.5,5912.977,1,41,1
1977-07-01,"Burns, Arthur",5.39,5,5912.977,7.2,60.5,64.5,5912.977,1,40,1
1977-08-01,"Burns, Arthur",5.42,6,6017.586,6.9,60.8,65,32.92688,1,39,1
1977-09-01,"Burns, Arthur",5.9,7,6017.586,7,61.1,65,6017.586,1,38,1
1977-10-01,"Burns, Arthur",6.14,8,6017.586,6.8,61.3,65,6017.586,1,37,1
1977-11-01,"Burns, Arthur",6.47,9,6018.218,6.8,61.6,64.9,33.15087,1,36,1
1977-12-01,"Burns, Arthur",6.51,10,6018.218,6.8,62,64.9,6018.218,1,35,1
1978-01-01,"Burns, Arthur",6.56,11,6018.218,6.4,62.3,64.9,6018.218,1,34,1
1978-02-01,"N/A",6.7,12,6039.158,6.4,62.7,64.8,33.4111,1,33,1
1978-03-01,"N/A",6.78,13,6039.158,6.3,63,64.8,6039.158,1,32,1
1978-04-01,"Miller, G. William",6.79,14,6039.158,6.3,63.4,64.8,6039.158,1,31,1
1978-05-01,"Miller, G. William",6.89,15,6273.963,6.1,63.9,64.4,32.05615,1,30,1
1978-06-01,"Miller, G. William",7.36,16,6273.963,6,64.5,64.4,6273.963,1,29,1
1978-07-01,"Miller, G. William",7.6,17,6273.963,5.9,65,64.4,6273.963,1,28,1
1978-08-01,"Miller, G. William",7.81,18,6335.317,6.2,65.5,65.2,32.16241,1,27,1
1978-09-01,"Miller, G. William",8.04,19,6335.317,5.9,65.9,65.2,6335.317,1,26,1
1978-10-01,"Miller, G. William",8.45,20,6335.317,6,66.5,65.2,6335.317,1,25,1
1978-11-01,"Miller, G. William",8.96,21,6420.288,5.8,67.1,65.4,31.79466,1,24,1
1978-12-01,"Miller, G. William",9.76,22,6420.288,5.9,67.5,65.4,6420.288,1,23,1
1979-01-01,"Miller, G. William",10.03,23,6420.288,6,67.9,65.4,6420.288,1,22,1
1979-02-01,"Miller, G. William",10.07,24,6433.044,5.9,68.5,64.8,31.47385,1,21,0
1979-03-01,"Miller, G. William",10.06,-1,6433.044,5.9,69.2,64.8,6433.044,1,20,1
1979-04-01,"Miller, G. William",10.09,1,6433.044,5.8,69.9,64.8,6433.044,1,19,0
1979-05-01,"Miller, G. William",10.01,-1,6440.832,5.8,70.6,64.9,31.00709,1,18,1
1979-06-01,"Miller, G. William",10.24,1,6440.832,5.6,71.4,64.9,6440.832,1,17,1
1979-07-01,"Miller, G. William",10.29,2,6440.832,5.7,72.2,64.9,6440.832,1,16,1
1979-08-01,"Miller, G. William",10.47,3,6487.08,5.7,73,65.8,30.95113,1,15,1
1979-09-01,"Volcker, Paul",10.94,4,6487.08,6,73.7,65.8,6487.08,1,14,1
1979-10-01,"Volcker, Paul",11.43,5,6487.08,5.9,74.4,65.8,6487.08,1,13,1
1979-11-01,"Volcker, Paul",13.77,6,6503.874,6,75.2,65.4,30.94869,1,12,0
1979-12-01,"Volcker, Paul",13.18,-1,6503.874,5.9,76,65.4,6503.874,1,11,1
1980-01-01,"Volcker, Paul",13.78,1,6503.874,6,76.9,65.4,6503.874,1,10,1
1980-02-01,"Volcker, Paul",13.82,2,6524.912,6.3,78,65.5,30.87613,1,9,1
1980-03-01,"Volcker, Paul",14.13,3,6524.912,6.3,79,65.5,6524.912,1,8,1
1980-04-01,"Volcker, Paul",17.19,4,6524.912,6.3,80.1,65.5,6524.912,1,7,1
1980-05-01,"Volcker, Paul",17.61,5,6392.578,6.9,80.9,65.5,31.34448,1,6,0
1980-06-01,"Volcker, Paul",10.98,-1,6392.578,7.5,81.7,65.5,6392.578,1,5,0
1980-07-01,"Volcker, Paul",9.47,-2,6392.578,7.6,82.5,65.5,6392.578,1,4,0
1980-08-01,"Volcker, Paul",9.03,-3,6382.892,7.8,82.6,65.8,31.7378,1,3,1
1980-09-01,"Volcker, Paul",9.61,1,6382.892,7.7,83.2,65.8,6382.892,1,2,1
1980-10-01,"Volcker, Paul",10.87,2,6382.892,7.5,83.9,65.8,6382.892,1,1,1
1980-11-01,"Volcker, Paul",12.81,3,6501.184,7.5,84.7,65.5,31.07433,1,0,1
1980-12-01,"Volcker, Paul",15.85,4,6501.184,7.5,85.6,65.5,6501.184,1,47,1
1981-01-01,"Volcker, Paul",18.9,5,6501.184,7.2,86.4,65.5,6501.184,0,46,1
1981-02-01,"Volcker, Paul",19.08,6,6635.726,7.5,87.2,65.6,30.79798,0,45,0
1981-03-01,"Volcker, Paul",15.93,-1,6635.726,7.4,88,65.6,6635.726,0,44,0
1981-04-01,"Volcker, Paul",14.7,-2,6635.726,7.4,88.6,65.6,6635.726,0,43,1
1981-05-01,"Volcker, Paul",15.72,1,6587.269,7.2,89.1,65.3,30.66252,0,42,1
1981-06-01,"Volcker, Paul",18.52,2,6587.269,7.5,89.7,65.3,6587.269,0,41,1
1981-07-01,"Volcker, Paul",19.1,3,6587.269,7.5,90.5,65.3,6587.269,0,40,0
1981-08-01,"Volcker, Paul",19.04,-1,6662.858,7.2,91.5,65.6,30.59779,0,39,0
1981-09-01,"Volcker, Paul",17.82,-2,6662.858,7.4,92.2,65.6,6662.858,0,38,0
1981-10-01,"Volcker, Paul",15.87,-3,6662.858,7.6,93.1,65.6,6662.858,0,37,0
1981-11-01,"Volcker, Paul",15.08,-4,6585.127,7.9,93.4,65.2,31.33026,0,36,0
1981-12-01,"Volcker, Paul",13.31,-5,6585.127,8.3,93.8,65.2,6585.127,0,35,0
1982-01-01,"Volcker, Paul",12.37,-6,6585.127,8.5,94.1,65.2,6585.127,0,34,1
1982-02-01,"Volcker, Paul",13.22,1,6474.973,8.6,94.4,64.8,32.41795,0,33,1
1982-03-01,"Volcker, Paul",14.78,2,6474.973,8.9,94.7,64.8,6474.973,0,32,0
1982-04-01,"Volcker, Paul",14.68,-1,6474.973,9,94.7,64.8,6474.973,0,31,1
1982-05-01,"Volcker, Paul",14.94,1,6510.247,9.3,95,64.9,32.40867,0,30,0
